"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"229","27 KNAPP ST, Somerville, Massachusetts","42.3830732, -71.1028702",1,"651 Somerville Ave, Somerville, MA 02143","2.65","159","0.487799",229
"230","270 WASHINGTON ST, Somerville, Massachusetts","42.3792437, -71.0979821",8,"651 Somerville Ave, Somerville, MA 02143","4.35","261","1.0172318",230
"231","275 BEACON ST, Somerville, Massachusetts","42.3835829, -71.111771",1,"651 Somerville Ave, Somerville, MA 02143","3.06666666666667","184","0.7158528",231
"232","277 BROADWAY, Somerville, Massachusetts","42.391835, -71.0912176",1,"651 Somerville Ave, Somerville, MA 02143","8.16666666666667","490","1.6398746",232
"233","28 BEACON ST, Somerville, Massachusetts","42.375024, -71.102897",1,"651 Somerville Ave, Somerville, MA 02143","4.96666666666667","298","1.0184746",233
"234","28 FITCHBURG ST, Somerville, Massachusetts","42.3763774, -71.0844011",1,"651 Somerville Ave, Somerville, MA 02143","8.43333333333333","506","1.6802656",234
"235","28 LINCOLN PKWY, Somerville, Massachusetts","42.3776895, -71.099069",1,"651 Somerville Ave, Somerville, MA 02143","6.46666666666667","388","1.18066",235
"236","28 PINCKNEY ST, Somerville, Massachusetts","42.3831616, -71.0824957",1,"651 Somerville Ave, Somerville, MA 02143","10.2666666666667","616","2.0667764",236
"237","28 PURITAN RD, Somerville, Massachusetts","42.3963158, -71.086495",1,"651 Somerville Ave, Somerville, MA 02143","9.93333333333333","596","2.0120932",237
"238","28 ROSSMORE ST, Somerville, Massachusetts","42.3789695, -71.0913546",1,"651 Somerville Ave, Somerville, MA 02143","6.55","393","1.18066",238
"239","282 SOMERVILLE AVE, Somerville, Massachusetts","42.3787795, -71.0946128",4,"651 Somerville Ave, Somerville, MA 02143","5.58333333333333","335","1.065701",239
"240","286 BEACON ST, Somerville, Massachusetts","42.3832006, -71.1126846",1,"651 Somerville Ave, Somerville, MA 02143","2.35","141","0.6158074",240
"241","286 BROADWAY, Somerville, Massachusetts","42.3917484, -71.0922988",1,"651 Somerville Ave, Somerville, MA 02143","7.83333333333333","470","1.5808416",241
"242","29 ALLEN ST, Somerville, Massachusetts","42.3775874, -71.0932443",3,"651 Somerville Ave, Somerville, MA 02143","6.33333333333333","380","1.1172772",242
"243","29 CLARK ST, Somerville, Massachusetts","42.378326, -71.097317",1,"651 Somerville Ave, Somerville, MA 02143","5.83333333333333","350","1.0831002",243
