"","Location","CountOfincnum","X","Y","Full.Address"
"177"," BOSTON AVE",NA,"-71.1116653","42.3999481","BOSTON AVE, Somerville, MA"
"178"," BOSTON AVE",NA,"-71.1116653","42.3999481","BOSTON AVE, Somerville, MA"
"179"," BOSTON AVE",NA,"-71.1116653","42.3999481","BOSTON AVE, Somerville, MA"
"180"," BOSTON ST",NA,"-71.0913588","42.3390059","BOSTON ST, Somerville, MA"
"181"," BOSTON ST",NA,"-71.0913588","42.3390059","BOSTON ST, Somerville, MA"
"182"," BOSTON ST",NA,"-71.0913588","42.3390059","BOSTON ST, Somerville, MA"
"183"," BOW ST PL",NA,"-71.0992621","42.3822104","BOW ST PL, Somerville, MA"
"184"," BOW ST",NA,"-71.0987357","42.3815762","BOW ST, Somerville, MA"
"185"," BOW ST",NA,"-71.0987357","42.3815762","BOW ST, Somerville, MA"
"186"," BOW ST",NA,"-71.0987357","42.3815762","BOW ST, Somerville, MA"
"187"," BOWDOIN ST",NA,"-71.1008456","42.3787274","BOWDOIN ST, Somerville, MA"
"188"," BOWDOIN ST",NA,"-71.1008456","42.3787274","BOWDOIN ST, Somerville, MA"
"189"," BOWERS AVE",NA,"-71.1219044","42.3944372","BOWERS AVE, Somerville, MA"
"190"," BOWERS AVE",NA,"-71.1219044","42.3944372","BOWERS AVE, Somerville, MA"
"191"," BRADFORD AVE",NA,"-71.0943041","42.3923605","BRADFORD AVE, Somerville, MA"
"192"," BRADFORD AVE",NA,"-71.0943041","42.3923605","BRADFORD AVE, Somerville, MA"
"193"," BRADLEY ST",NA,"-71.0940793","42.3888861","BRADLEY ST, Somerville, MA"
"194"," BRADLEY ST",NA,"-71.0940793","42.3888861","BRADLEY ST, Somerville, MA"
"195"," BRADLEY ST",NA,"-71.0940793","42.3888861","BRADLEY ST, Somerville, MA"
"196"," BRASTOW AVE",NA,"-71.1097654","42.3886473","BRASTOW AVE, Somerville, MA"
"197"," BRASTOW AVE",NA,"-71.1097654","42.3886473","BRASTOW AVE, Somerville, MA"
"198"," BRISTOL RD",NA,"-71.1137493","42.4015167","BRISTOL RD, Somerville, MA"
"199"," BRISTOL RD",NA,"-71.1137493","42.4015167","BRISTOL RD, Somerville, MA"
"200"," BROADWAY & LEONARD ST.",NA,"-78.589606","42.8912372","BROADWAY & LEONARD ST., Somerville, MA"
"201"," BROADWAY & POWDER HOUSE PK",NA,"-78.589606","42.8912372","BROADWAY & POWDER HOUSE PK, Somerville, MA"
"202"," BROADWAY / CEDAR STREET",NA,"-71.10781","42.398373","BROADWAY / CEDAR STREET, Somerville, MA"
"203"," BROADWAY PL",NA,"-71.0814683","42.3865861","BROADWAY PL, Somerville, MA"
"204"," BROADWAY",NA,"-71.1075914","42.3983788","BROADWAY, Somerville, MA"
"205"," BROADWAY",NA,"-71.1075914","42.3983788","BROADWAY, Somerville, MA"
"206"," BROADWAY",NA,"-71.1075914","42.3983788","BROADWAY, Somerville, MA"
"207"," BROMFIELD RD",NA,"-71.1160728","42.4016615","BROMFIELD RD, Somerville, MA"
"208"," BROMFIELD RD",NA,"-71.1160728","42.4016615","BROMFIELD RD, Somerville, MA"
"209"," BROMFIELD RD",NA,"-71.1160728","42.4016615","BROMFIELD RD, Somerville, MA"
"210"," BROOK ST",NA,"-71.0857792","42.3871456","BROOK ST, Somerville, MA"
"211"," BROOK ST",NA,"-71.0857792","42.3871456","BROOK ST, Somerville, MA"
"212"," BROOK ST",NA,"-71.0857792","42.3871456","BROOK ST, Somerville, MA"
"213"," BROWNING RD",NA,"-71.0985849","42.3941412","BROWNING RD, Somerville, MA"
"214"," BUCKINGHAM ST",NA,"-71.1036425","42.3761973","BUCKINGHAM ST, Somerville, MA"
"215"," BUCKINGHAM ST",NA,"-71.1036425","42.3761973","BUCKINGHAM ST, Somerville, MA"
"216"," BUENA VISTA RD",NA,"-71.1245128","42.3977504","BUENA VISTA RD, Somerville, MA"
"217"," BUENA VISTA RD",NA,"-71.1245128","42.3977504","BUENA VISTA RD, Somerville, MA"
"218"," BUENA VISTA RD",NA,"-71.1245128","42.3977504","BUENA VISTA RD, Somerville, MA"
"219"," BUENA VISTA",NA,"-71.1245128","42.3977504","BUENA VISTA, Somerville, MA"
"220"," BUENVISTA",NA,"-71.1245128","42.3977504","BUENVISTA, Somerville, MA"
"221"," BURNHAM ST",NA,"-71.1211378","42.402217","BURNHAM ST, Somerville, MA"
"222"," BURNHAM ST",NA,"-71.1211378","42.402217","BURNHAM ST, Somerville, MA"
"223"," BURNHAM ST",NA,"-71.1211378","42.402217","BURNHAM ST, Somerville, MA"
"224"," BURNSIDE AVE",NA,"-71.117233","42.3908623","BURNSIDE AVE, Somerville, MA"
"225"," BURNSIDE AVE",NA,"-71.117233","42.3908623","BURNSIDE AVE, Somerville, MA"
"226"," BURNSIDE AVE",NA,"-71.117233","42.3908623","BURNSIDE AVE, Somerville, MA"
"227"," BUTLER DR",NA,"-71.0901851","42.396174","BUTLER DR, Somerville, MA"
"228"," BUTLER DR",NA,"-71.0901851","42.396174","BUTLER DR, Somerville, MA"
"229"," CADY AVE",NA,"-71.1241765","42.4002176","CADY AVE, Somerville, MA"
"230"," CALDWELL AVE",NA,"-71.1048922","42.3779449","CALDWELL AVE, Somerville, MA"
"231"," CALDWELL AVE",NA,"-71.1048922","42.3779449","CALDWELL AVE, Somerville, MA"
"232"," CALVIN ST",NA,"-71.1041402","42.3776181","CALVIN ST, Somerville, MA"
"233"," CALVIN ST",NA,"-71.1041402","42.3776181","CALVIN ST, Somerville, MA"
"234"," CAMBRIA ST",NA,"-71.105966","42.3879499","CAMBRIA ST, Somerville, MA"
"235"," CAMBRIA ST",NA,"-71.105966","42.3879499","CAMBRIA ST, Somerville, MA"
"236"," CAMERON AVE",NA,"-71.1275446","42.3998315","CAMERON AVE, Somerville, MA"
"237"," CAMERON AVE",NA,"-71.1275446","42.3998315","CAMERON AVE, Somerville, MA"
"238"," CAMERON AVE",NA,"-71.1275446","42.3998315","CAMERON AVE, Somerville, MA"
"239"," CAMPBELL PK PL",NA,"-71.1270989","42.3973927","CAMPBELL PK PL, Somerville, MA"
"240"," CAMPBELL PK",NA,"-71.12669","42.3969842","CAMPBELL PK, Somerville, MA"
"241"," CAMPBELL PK",NA,"-71.12669","42.3969842","CAMPBELL PK, Somerville, MA"
"242"," CANAL LA",NA,"-71.079673","42.3941311","CANAL LA, Somerville, MA"
"243"," CANAL LA",NA,"-71.079673","42.3941311","CANAL LA, Somerville, MA"
"244"," CANAL LN",NA,"-71.0939578","42.3967414","CANAL LN, Somerville, MA"
"245"," CANAL ST",NA,"-71.079673","42.3941311","CANAL ST, Somerville, MA"
"246"," CANAL ST",NA,"-71.079673","42.3941311","CANAL ST, Somerville, MA"
"247"," CAPEN CT",NA,"-71.13017","42.4146356","CAPEN CT, Somerville, MA"
"248"," CAPEN CT",NA,"-71.13017","42.4146356","CAPEN CT, Somerville, MA"
"249"," CAPEN CT",NA,"-71.13017","42.4146356","CAPEN CT, Somerville, MA"
"250"," CARLTON ST",NA,"-71.1000577","42.380813","CARLTON ST, Somerville, MA"
"251"," CARLTON ST",NA,"-71.1000577","42.380813","CARLTON ST, Somerville, MA"
"252"," CARTER TER",NA,"-71.1046067","42.3853068","CARTER TER, Somerville, MA"
"253"," CARTER TERR",NA,"-71.1046067","42.3853068","CARTER TERR, Somerville, MA"
"254"," CARTER TERR",NA,"-71.1046067","42.3853068","CARTER TERR, Somerville, MA"
"255"," CARTER TERRACE",NA,"-71.1046067","42.3853068","CARTER TERRACE, Somerville, MA"
