"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"478","630 SOMERVILLE AVE, Somerville, Massachusetts","42.3841269, -71.1112255",1,"515 Somerville Ave, Somerville, MA","1.11666666666667","67","0.2790086",478
"479","64 BOW ST, Somerville, Massachusetts","42.3814634, -71.0993265",1,"515 Somerville Ave, Somerville, MA","2.93333333333333","176","0.6481202",479
"480","64 UNION SQ, Somerville, Massachusetts","42.3799411, -71.0963621",2,"515 Somerville Ave, Somerville, MA","3.13333333333333","188","0.5791448",480
"481","65 BEACON ST, Somerville, Massachusetts","42.3762308, -71.1038545",2,"515 Somerville Ave, Somerville, MA","3.06666666666667","184","0.6232642",481
"482","65 CRAIGIE ST, Somerville, Massachusetts","42.387537, -71.110958",1,"515 Somerville Ave, Somerville, MA","2.83333333333333","170","0.5828732",482
"483","651 SOMERVILLE AVE, Somerville, Massachusetts","42.3846917, -71.1113134",2,"515 Somerville Ave, Somerville, MA","1.2","72","0.2995148",483
"484","66 UNION SQ, Somerville, Massachusetts","42.3798617, -71.0951016",1,"515 Somerville Ave, Somerville, MA","4.75","285","0.7686718",484
"485","663 SOMERVILLE AVE, Somerville, Massachusetts","42.3847496, -71.1121624",1,"515 Somerville Ave, Somerville, MA","1.35","81","0.3411486",485
"486","67 BOSTON ST, Somerville, Massachusetts","42.38302, -71.093462",1,"515 Somerville Ave, Somerville, MA","4.15","249","0.8755526",486
"487","67 PEARL ST, Somerville, Massachusetts","42.384653, -71.083742",1,"515 Somerville Ave, Somerville, MA","7.66666666666667","460","1.5951338",487
"488","67 SUMMER ST, Somerville, Massachusetts","42.3842949, -71.1001719",1,"515 Somerville Ave, Somerville, MA","2.25","135","0.450515",488
"489","68 CHURCH ST, Somerville, Massachusetts","42.3830629, -71.0997546",1,"515 Somerville Ave, Somerville, MA","2.28333333333333","137","0.4803422",489
"490","68 CONCORD AVE, Somerville, Massachusetts","42.37628, -71.099925",1,"515 Somerville Ave, Somerville, MA","4.01666666666667","241","0.7562438",490
