"","Full.Address","to","n","from","minutes","seconds","miles","row.number"
"215","26 HAWTHORNE ST, Somerville, Massachusetts","42.39386, -71.118329",1,"146 Washington St, Somerville, MA","10.05","603","1.9909656",215
"216","26 NASHUA ST, Somerville, Massachusetts","42.39469, -71.1057468",1,"146 Washington St, Somerville, MA","8.9","534","1.702636",216
"217","26 PRESCOTT ST, Somerville, Massachusetts","42.384724, -71.099358",1,"146 Washington St, Somerville, MA","4.05","243","0.8364044",217
"218","26 PUTNAM ST, Somerville, Massachusetts","42.384245, -71.098545",1,"146 Washington St, Somerville, MA","3.88333333333333","233","0.7978776",218
"219","260 BEACON ST, Somerville, Massachusetts","42.3823116, -71.1119065",1,"146 Washington St, Somerville, MA","7.23333333333333","434","1.3770224",219
"220","260 WASHINGTON ST, Somerville, Massachusetts","42.3795554, -71.0970526",4,"146 Washington St, Somerville, MA","3.25","195","0.4840706",220
"221","266 BROADWAY, Somerville, Massachusetts","42.390861, -71.0911762",26,"146 Washington St, Somerville, MA","5.13333333333333","308","0.9774622",221
"222","267 WILLOW AVE, Somerville, Massachusetts","42.3994836, -71.1128706",1,"146 Washington St, Somerville, MA","9.63333333333333","578","1.972945",222
"223","268 WASHINGTON ST, Somerville, Massachusetts","42.37911, -71.097455",7,"146 Washington St, Somerville, MA","3.81666666666667","229","0.5474534",223
"224","268R POWDER HOUSE BLVD, Somerville, Massachusetts","42.4080167, -71.1306713",1,"146 Washington St, Somerville, MA","13.25","795","3.0398888",224
"225","27 ADRIAN ST, Somerville, Massachusetts","42.37747, -71.099069",1,"146 Washington St, Somerville, MA","5.1","306","0.7724002",225
"226","27 FOUNTAIN AVE, Somerville, Massachusetts","42.3831618, -71.0880781",1,"146 Washington St, Somerville, MA","2.13333333333333","128","0.3560622",226
"227","27 HIGHLAND AVE, Somerville, Massachusetts","42.3851542, -71.0941584",1,"146 Washington St, Somerville, MA","2.63333333333333","158","0.4809636",227
"228","27 HOUGHTON ST, Somerville, Massachusetts","42.3749589, -71.0985601",1,"146 Washington St, Somerville, MA","5.45","327","0.960063",228
"229","27 KNAPP ST, Somerville, Massachusetts","42.3830732, -71.1028702",1,"146 Washington St, Somerville, MA","5.61666666666667","337","0.950742",229
"230","270 WASHINGTON ST, Somerville, Massachusetts","42.3792437, -71.0979821",8,"146 Washington St, Somerville, MA","3.43333333333333","206","0.5337826",230
"231","275 BEACON ST, Somerville, Massachusetts","42.3835829, -71.111771",1,"146 Washington St, Somerville, MA","7.31666666666667","439","1.4497262",231
"232","277 BROADWAY, Somerville, Massachusetts","42.391835, -71.0912176",1,"146 Washington St, Somerville, MA","4.6","276","1.0103964",232
"233","28 BEACON ST, Somerville, Massachusetts","42.375024, -71.102897",1,"146 Washington St, Somerville, MA","6.55","393","1.1955736",233
"234","28 FITCHBURG ST, Somerville, Massachusetts","42.3763774, -71.0844011",1,"146 Washington St, Somerville, MA","1.36666666666667","82","0.3734614",234
"235","28 LINCOLN PKWY, Somerville, Massachusetts","42.3776895, -71.099069",1,"146 Washington St, Somerville, MA","5.21666666666667","313","0.779857",235
